team_name,owner,position,original_name,standardized_rider,points

pogaciaooo,Jeremie,1,POGAARTadej,rider/tadej-pogacar,4270
pogaciaooo,Jeremie,2,PEDERSENMads,rider/mads-pedersen,1771
pogaciaooo,Jeremie,3,PIDCOCKThomas,rider/thomas-pidcock,1344
pogaciaooo,Jeremie,4,VANAERTWout,rider/wout-van-aert,1025
pogaciaooo,Jeremie,5,MILANJonathan,rider/jonathan-milan,670
pogaciaooo,Jeremie,6,FRETINMilan,rider/milan-fretin,656
pogaciaooo,Jeremie,7,MAGNIERPaul,rider/paul-magnier,483
pogaciaooo,Jeremie,8,SkjelmoseJENSENMattias,rider/mattias-skjelmose-jensen,390
pogaciaooo,Jeremie,9,NYSThibau,rider/thibau-nys,260
pogaciaooo,Jeremie,10,KWIATKOWSKIMichal,rider/michal-kwiatkowski,93
pogaciaooo,Jeremie,11,SENECHALFlorian,rider/florian-senechal,18
pogaciaooo,Jeremie,12,Louisvervaeke,rider/louis-vervaeke,0
ZonderdeVliegendeHollander,Pierre-Jean,1,POGAARTadej,rider/tadej-pogacar,4270
ZonderdeVliegendeHollander,Pierre-Jean,2,GIRMAYBiniam,rider/biniam-girmay,1818
ZonderdeVliegendeHollander,Pierre-Jean,3,DELIEArnaud,rider/arnaud-de-lie,1645
ZonderdeVliegendeHollander,Pierre-Jean,4,VANAERTWout,rider/wout-van-aert,1025
ZonderdeVliegendeHollander,Pierre-Jean,5,NYSThibau,rider/thibau-nys,260
ZonderdeVliegendeHollander,Pierre-Jean,6,VANEETVELTLennert,rider/lennert-van-eetvelt,737
ZonderdeVliegendeHollander,Pierre-Jean,7,FOSSTobiasSvendsen,rider/tobias-foss,170
ZonderdeVliegendeHollander,Pierre-Jean,8,DEMAREArnaud,rider/arnaud-demare,364
ZonderdeVliegendeHollander,Pierre-Jean,9,JAKOBSENFabio,rider/fabio-jakobsen,188
ZonderdeVliegendeHollander,Pierre-Jean,10,CAMPENAERTSVictor,rider/victor-campenaerts,173
ZonderdeVliegendeHollander,Pierre-Jean,11,VANMOERBrent,rider/brent-van-moer,169
Flandria,Tom,1,WoutVanAert,rider/wout-van-aert,1025
Flandria,Tom,2,artzhuub,rider/huub-artz,202
Flandria,Tom,3,VANDERPOELMathieu,rider/mathieu-van-der-poel,3785
Flandria,Tom,4,MARITArne,rider/arne-marit,41
Flandria,Tom,5,BENOOTTiesj,rider/tiesj-benoot,1189
Flandria,Tom,6,giannimoscon,rider/giovanni-carboni,10
Flandria,Tom,7,GROVESKadenAlexander,rider/kaden-groves,110
Flandria,Tom,8,VANMECHELENVlad,rider/vlad-van-mechelen,55
Flandria,Tom,9,VANGHELUWEWarre,rider/warre-vangheluwe,28
Flandria,Tom,10,POGAARTadej,rider/tadej-pogacar,4270
Flandria,Tom,11,NYSThibau,rider/thibau-nys,260
Flandria,Tom,12,alexyfaureprost,rider/alexy-faure-prost,0
Pierre-GillesDenis,Bottom-Up,1,PEDERSENMads,rider/mads-pedersen,1771
Pierre-GillesDenis,Bottom-Up,2,GIRMAYBiniam,rider/biniam-girmay,1818
Pierre-GillesDenis,Bottom-Up,3,DELIEArnaud,rider/arnaud-de-lie,1645
Pierre-GillesDenis,Bottom-Up,4,KooijOlav,rider/olav-kooij,1185
Pierre-GillesDenis,Bottom-Up,5,PITHIELaurence,rider/laurence-pithie,923
Pierre-GillesDenis,Bottom-Up,6,STUYVENJasper,rider/jasper-stuyven,713
Pierre-GillesDenis,Bottom-Up,7,ALAPHILIPPEJulian,rider/julian-alaphilippe,933
Pierre-GillesDenis,Bottom-Up,8,HEALYBen,rider/ben-healy,556
Pierre-GillesDenis,Bottom-Up,9,JAKOBSENFabio,rider/fabio-jakobsen,188
Pierre-GillesDenis,Bottom-Up,10,JOHANNINKJelle,rider/jelle-johannink,77
Pierre-GillesDenis,Bottom-Up,11,VANAERTWout,rider/wout-van-aert,1025
Pierre-GillesDenis,Bottom-Up,12,BAGIOLIAndrea,rider/andrea-bagioli,76
Tudornon.,GuillaumeLejeune,1,VanAertWout,rider/wout-van-aert,1025
Tudornon.,GuillaumeLejeune,2,PHILIPSENJasper,rider/jasper-philipsen,3085
Tudornon.,GuillaumeLejeune,3,PEDERSENMads,rider/mads-pedersen,1771
Tudornon.,GuillaumeLejeune,4,DELIEArnaud,rider/arnaud-de-lie,1645
Tudornon.,GuillaumeLejeune,5,GREGOIRERomain,rider/romain-gregoire1,876
Tudornon.,GuillaumeLejeune,6,JORGENSONMatteo,rider/matteo-jorgenson,797
Tudornon.,GuillaumeLejeune,7,RUSSOClment,rider/clement-russo,56
Tudornon.,GuillaumeLejeune,8,NARVAEZPRADOJhonatanManuel,rider/jhonatan-narvaez,820
Tudornon.,GuillaumeLejeune,9,DEBONDTDries,rider/dries-de-bondt,147
Tudornon.,GuillaumeLejeune,10,PETERSNans,rider/nans-peters,72
Tudornon.,GuillaumeLejeune,11,BENNETTSam,rider/sam-bennett,35
Tudornon.,GuillaumeLejeune,12,MILANJonathan,rider/jonathan-milan,670
Bastien,Bastien,1,POGAARTadej,rider/tadej-pogacar,4270
Bastien,Bastien,2,MADOUASValentin,rider/valentin-madouas,1383
Bastien,Bastien,3,DELIEArnaud,rider/arnaud-de-lie,1645
Bastien,Bastien,4,PARETPEINTREAurlien,rider/aurelien-paret-peintre,524
Bastien,Bastien,5,PIDCOCKThomas,rider/thomas-pidcock,1344
Bastien,Bastien,6,LAPORTEChristophe,rider/christophe-laporte,1231
Bastien,Bastien,7,VANMOERBrent,rider/brent-van-moer,169
Bastien,Bastien,8,VANDIJKETim,rider/tim-van-dijke,114
Bastien,Bastien,9,PaulPenhot,rider/paul-penhoet,223
Bastien,Bastien,10,LANDAMEANAMikel,rider/mikel-landa,28
Bastien,Bastien,11,SERRANORODRIGUEZGonzalo,rider/gonzalo-serrano,34
Bastien,Bastien,12,POELSWouter,rider/wout-poels,35
Cyril,Cyril,1,POGAARTadej,rider/tadej-pogacar,4270
Cyril,Cyril,2,BENOOTTiesj,rider/tiesj-benoot,1189
Cyril,Cyril,3,MOHORICMatej,rider/matej-mohoric,840
Cyril,Cyril,4,DELIEArnaud,rider/arnaud-de-lie,1645
Cyril,Cyril,5,CARAPAZRichard,rider/richard-carapaz,338
Cyril,Cyril,6,STUYVENJasper,rider/jasper-stuyven,713
Cyril,Cyril,7,VANGESTELDries,rider/dries-van-gestel,333
Cyril,Cyril,8,PAGEHugo,rider/hugo-page,329
Cyril,Cyril,9,SCHACHMANNMaximilian,rider/maximilian-schachmann,320.33
Cyril,Cyril,10,BLACKMOREJoseph,rider/joseph-blackmore,306
Cyril,Cyril,11,BERCKMOESJenno,rider/jenno-berckmoes,406
Cyril,Cyril,12,KRIJNSENJelte,rider/jelte-krijnsen,305
Leopold,Leopold,1,JENSENSkjelmoseMattias,rider/mattias-skjelmose-jensen,390
Leopold,Leopold,2,HINDLEYJai,rider/jai-hindley,185
Leopold,Leopold,3,POGAARTadej,rider/tadej-pogacar,4270
Leopold,Leopold,4,NAESENOliver,rider/oliver-naesen,598
Leopold,Leopold,5,VANAERTWout,rider/wout-van-aert,1025
Leopold,Leopold,6,MERLIERTim,rider/tim-merlier,1310
Leopold,Leopold,7,JORGENSONMatteo,rider/matteo-jorgenson,797
Leopold,Leopold,8,TEUNSDylan,rider/dylan-teuns,509
Leopold,Leopold,9,TARLINGJoshua,rider/joshua-tarling,543
Leopold,Leopold,10,PIDCOCKThomas,rider/thomas-pidcock,1344
Leopold,Leopold,11,WAIRIMUPeterson,rider/kamau-peterson-wairimu,1
Leopold,Leopold,12,LOVELLGiovanni,rider/giovanni-lovell,0.83
DerriksSport,JeanMaxime,1,TadejPogaar,rider/tadej-pogacar,4270
DerriksSport,JeanMaxime,2,RemcoEvenepoel,rider/remco-evenepoel,3060
DerriksSport,JeanMaxime,3,WoutvanAert,rider/wout-van-aert,1025
DerriksSport,JeanMaxime,4,DavidGaudu,rider/david-gaudu,488
DerriksSport,JeanMaxime,5,JasperStuyven,rider/jasper-stuyven,713
DerriksSport,JeanMaxime,6,MikeTeunissen,rider/mike-teunissen,548
DerriksSport,JeanMaxime,7,BrunoArmirail,rider/bruno-armirail,171
DerriksSport,JeanMaxime,8,VictorCampenaerts,rider/victor-campenaerts,173
